epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89816,1.67817,4.33487,1.17532,0.00553,0.23948,0.04149,0.02268,1.67981,3.92233,1.02151,1.428e-05,1.428e-05,1.428e-05
2,4.15889,1.6578,4.13038,1.15519,0.00438,0.22698,0.02304,0.01184,1.6901,3.94092,1.03502,3.55586e-05,3.55586e-05,3.55586e-05
3,5.00239,1.80898,4.2609,1.22109,0.00426,0.22837,0.05214,0.03417,1.55048,3.94553,1.00684,5.66676e-05,5.66676e-05,5.66676e-05
4,5.83422,1.33369,4.04999,1.02089,0.00792,0.30337,0.06886,0.05032,1.32264,3.9127,0.94907,7.76069e-05,7.76069e-05,7.76069e-05
5,6.70163,1.18718,3.98406,0.95908,0.00987,0.47143,0.08954,0.06641,1.23463,3.87941,0.91894,9.83766e-05,9.83766e-05,9.83766e-05
6,7.51402,1.32432,3.5788,1.02239,0.01206,0.57976,0.10497,0.0762,1.21857,3.87978,0.91309,0.000118977,0.000118977,0.000118977
7,8.34889,1.18405,3.52364,0.96012,0.01011,0.45615,0.10243,0.07206,1.14094,3.93396,0.92581,0.000139407,0.000139407,0.000139407
8,9.15436,1.18123,3.31458,0.931,0.00896,0.41409,0.09845,0.07063,1.13473,3.92936,0.92197,0.000159668,0.000159668,0.000159668
9,10.0055,1.2648,3.21335,1.00223,0.0101,0.45119,0.09175,0.07036,1.1123,3.86587,0.89869,0.000179759,0.000179759,0.000179759
10,10.9878,1.09359,2.8772,0.9675,0.01418,0.76171,0.1425,0.10222,1.1286,3.79219,0.88759,0.00019968,0.00019968,0.00019968
11,11.7933,1.09764,2.77087,0.9415,0.01662,0.88016,0.15098,0.10014,1.08984,3.64889,0.87419,0.000219432,0.000219432,0.000219432
12,12.6229,1.19996,2.91305,1.00186,0.01765,0.96111,0.16838,0.11558,1.00147,3.5746,0.85424,0.000239014,0.000239014,0.000239014
13,13.4592,1.15458,2.55368,0.97695,0.01848,0.92222,0.18931,0.12815,1.00584,3.53374,0.85668,0.000258427,0.000258427,0.000258427
14,14.2791,1.09332,2.51181,0.9442,0.01863,0.92222,0.20988,0.13868,1.02356,3.51565,0.86002,0.00027767,0.00027767,0.00027767
15,15.1173,1.09724,2.44422,1.02358,0.01877,0.96349,0.24516,0.1556,1.02487,3.45927,0.86161,0.000296743,0.000296743,0.000296743
16,15.9335,1.14173,2.41504,0.93613,0.01876,0.96349,0.24296,0.1585,1.01924,3.43054,0.8633,0.000315647,0.000315647,0.000315647
17,16.7385,1.0146,2.23333,0.95608,0.01883,0.9746,0.29371,0.20336,1.077,3.35644,0.87786,0.00033438,0.00033438,0.00033438
18,17.5642,1.19832,2.34406,0.987,0.01843,0.9746,0.33482,0.22808,1.05545,3.31918,0.88243,0.000352945,0.000352945,0.000352945
19,18.3788,1.19098,2.25959,0.98176,0.01831,0.9746,0.32136,0.21392,1.02733,3.28777,0.89416,0.000371339,0.000371339,0.000371339
20,19.1798,1.02557,2.12009,0.92808,0.01857,1,0.34164,0.22235,1.01991,3.23102,0.9136,0.000389564,0.000389564,0.000389564
21,19.976,1.1791,2.15443,0.97546,0.01814,1,0.39628,0.27378,1.02135,3.15175,0.91922,0.00040762,0.00040762,0.00040762
22,20.7569,1.15911,2.10559,0.99108,0.01808,1,0.40763,0.28244,0.98744,3.0996,0.91001,0.000425505,0.000425505,0.000425505
23,21.557,1.07913,1.99067,0.94536,0.01798,1,0.45094,0.31641,0.98764,3.0487,0.90049,0.000443221,0.000443221,0.000443221
24,22.389,1.03848,1.89681,0.94205,0.08638,0.98333,0.44117,0.31038,0.98685,2.9737,0.89304,0.000460768,0.000460768,0.000460768
